id,target,ps_ind_01,ps_ind_02_cat,ps_car_11_cat
7,0,2,2,12
9,0,1,1,19
13,0,5,4,60
16,0,0,1,104
17,0,0,2,82
19,0,5,1,104
20,0,2,1,99
22,0,5,1,30
26,0,5,1,68
28,1,1,1,104
34,0,5,2,20
35,0,2,1,36
36,0,2,1,101
43,0,1,1,104
46,0,5,1,103
48,0,5,1,41
50,0,1,2,59
58,0,5,1,104
61,0,5,1,43
64,1,0,1,64
65,0,0,1,82
66,0,0,1,103
72,0,5,3,29
74,0,2,1,95
77,0,0,1,104
78,0,0,1,24
79,0,0,1,5
80,0,4,1,99
84,1,0,2,104
85,0,3,2,28
89,0,0,1,87
90,0,1,1,66
93,0,2,1,10
95,0,0,1,26
96,0,0,1,104
98,0,2,1,64
99,0,1,1,54
101,0,3,4,32
104,0,4,1,19
107,1,2,1,38
109,0,2,1,83
110,1,5,2,89
111,0,1,1,99
112,0,6,1,49
116,0,5,2,93
117,0,1,1,103
119,0,5,1,49
120,0,0,1,1
121,0,2,1,22
123,0,4,2,85
125,0,3,1,104
127,0,6,1,78
137,0,2,2,49
138,0,0,1,38
142,0,0,1,82
143,0,0,1,87
144,0,0,2,31
145,0,0,1,28
147,0,1,1,34
149,0,0,1,7
150,0,1,1,22
153,0,3,1,82
155,0,3,2,87
156,0,0,1,104
160,0,0,1,8
162,1,6,1,38
163,0,4,3,3
166,0,4,2,46
170,0,1,1,27
177,0,2,1,104
186,0,0,1,87
189,0,3,2,64
193,0,1,2,38
194,0,5,1,104
197,0,0,1,25
199,0,4,2,85
200,0,2,2,85
205,0,1,1,87
206,0,2,2,61
208,0,7,1,16
209,0,0,2,104
210,0,5,1,10
211,0,0,1,68
212,0,0,1,104
214,0,4,1,99
215,0,5,3,31
216,0,0,1,104
217,1,1,1,104
218,0,5,1,69
221,0,2,1,31
223,0,0,3,40
224,0,0,2,76
225,0,0,2,104
227,0,7,1,46
229,0,3,1,38
235,0,3,1,104
239,0,3,1,39
244,0,1,1,76
248,0,5,1,88
261,0,0,1,42
263,0,2,1,103
264,0,5,1,32
265,0,1,2,104
266,0,0,1,43
269,0,1,2,38
271,0,2,1,75
280,0,4,1,91
284,0,1,1,10
285,1,0,1,23
286,0,3,2,54
301,0,1,1,32
302,0,0,1,82
305,0,2,3,2
306,0,2,1,71
307,0,3,1,82
309,0,5,1,104
310,0,4,2,104
311,0,1,2,26
312,0,3,1,19
313,0,1,1,32
316,0,5,2,104
319,0,0,1,90
321,0,0,1,68
324,0,0,2,82
325,0,0,1,36
326,0,1,2,104
328,0,0,2,80
330,0,2,1,44
338,0,0,1,82
339,0,6,1,87
340,0,0,1,10
342,0,5,1,25
344,0,3,2,92
346,0,4,1,104
350,0,1,1,5
351,0,1,2,87
360,0,0,1,25
363,0,1,1,72
364,0,5,1,10
367,0,0,2,82
370,0,6,1,104
372,0,5,1,96
374,0,2,2,28
375,0,5,1,86
378,0,2,1,60
380,0,0,1,87
389,0,0,1,104
395,0,0,1,90
397,0,5,2,10
398,0,0,4,62
399,0,1,2,104
401,0,0,1,33
404,0,2,2,67
406,0,5,1,73
408,0,0,1,104
410,0,6,1,32
413,0,4,1,5
417,0,2,1,77
420,0,1,1,18
425,0,4,2,10
429,0,2,1,5
430,0,0,1,104
431,0,5,1,28
432,0,1,2,103
433,0,5,1,43
434,0,5,1,42
435,0,0,1,76
437,0,0,1,87
439,0,3,1,21
440,0,5,3,104
441,0,0,1,74
444,0,0,1,7
448,0,3,1,37
449,0,2,1,104
451,0,0,3,12
454,0,0,1,40
456,0,3,1,101
457,0,0,2,85
460,0,0,1,22
462,0,0,1,7
464,0,5,1,104
465,0,2,1,80
466,0,1,3,32
468,0,7,2,32
469,0,2,1,82
473,0,1,1,104
474,0,0,1,78
475,0,0,1,44
478,0,0,2,49
479,0,0,3,48
480,0,3,4,70
484,1,3,1,83
486,0,0,1,34
489,0,4,3,1
491,0,2,1,34
493,0,1,1,68
495,0,3,2,13
496,0,2,1,104
498,0,3,1,59
502,0,1,1,15
504,0,0,1,102
508,0,0,1,64
513,0,1,1,42
518,0,3,2,53
524,0,1,2,64
525,0,4,2,104
526,0,2,1,78
528,0,0,2,89
529,0,0,1,104
531,0,2,2,61
533,0,0,1,103
535,0,0,1,10
537,0,0,1,64
538,0,1,1,40
540,0,1,1,13
541,0,0,3,104
542,0,1,1,62
544,0,0,1,65
545,0,0,1,28
546,0,0,2,100
548,0,1,1,51
549,0,0,2,54
554,0,5,1,41
562,0,1,1,104
563,1,7,2,104
564,0,0,1,104
568,0,4,1,32
569,0,1,1,103
570,0,0,1,1
573,0,1,1,39
580,0,0,1,87
582,0,3,3,79
583,0,0,1,104
584,0,0,2,78
585,0,5,1,70
586,0,2,1,104
588,0,3,2,52
599,0,2,1,104
601,0,1,1,32
603,0,2,1,32
604,0,0,1,51
608,0,0,1,104
609,0,3,1,7
610,0,0,1,87
611,0,1,2,78
619,0,0,1,51
624,0,3,1,92
625,0,0,1,104
626,0,0,1,88
627,1,0,2,28
629,0,0,2,49
630,1,0,1,65
636,0,2,1,104
639,0,2,2,64
641,0,1,1,28
642,0,1,2,76
647,0,0,2,87
648,0,5,1,63
650,0,0,2,88
652,0,6,2,94
657,0,1,1,23
660,0,0,2,46
666,0,1,1,74
669,0,2,1,6
670,1,0,2,39
672,0,2,1,74
685,1,1,1,88
689,0,0,4,38
697,0,0,2,88
700,0,4,3,104
701,0,0,1,77
704,0,6,1,64
711,0,5,1,57
712,0,5,1,67
722,0,5,2,38
725,0,0,1,78
727,0,0,1,104
729,0,4,1,104
731,0,1,1,104
733,0,7,1,99
736,0,1,1,67
739,0,1,1,103
740,0,0,2,64
744,0,0,1,52
745,0,4,1,92
748,0,0,2,104
751,0,5,4,72
753,0,1,1,32
754,0,0,1,28
756,0,0,1,34
760,0,2,1,104
761,0,3,3,78
762,0,0,3,87
763,1,3,1,61
764,0,2,1,35
774,0,3,1,70
777,0,0,1,27
781,1,1,1,36
787,0,0,1,48
790,0,0,2,87
791,0,5,1,68
795,0,0,1,83
796,0,0,1,33
803,0,3,1,39
804,0,1,1,67
806,1,1,1,28
809,0,0,1,65
810,0,2,1,28
812,0,3,1,83
818,0,1,2,103
820,0,0,1,80
822,0,0,1,67
824,0,2,1,43
829,0,1,2,88
832,0,1,1,65
839,0,3,1,49
841,0,0,1,104
843,0,1,1,65
846,0,7,1,104
849,0,0,1,5
854,0,0,1,32
858,0,0,1,87
861,0,2,1,60
865,0,0,1,34
866,0,6,1,104
870,0,2,2,89
872,0,0,2,98
874,0,0,4,104
878,1,2,1,16
881,0,0,1,42
882,0,1,1,87
889,0,0,1,104
890,0,5,1,56
892,0,0,1,51
894,0,3,1,104
896,0,1,2,68
899,0,0,1,95
900,0,2,1,39
903,0,0,1,40
906,1,5,2,29
912,0,5,1,37
918,0,1,1,75
921,0,1,1,104
922,0,4,1,71
927,0,6,1,104
930,0,0,3,65
931,0,0,1,72
933,0,1,2,48
934,0,0,1,39
942,0,4,2,67
943,0,0,1,99
948,0,0,3,48
951,0,0,1,80
954,0,2,2,60
958,0,0,1,42
959,0,1,3,102
965,0,4,1,28
966,0,0,1,13
968,0,2,1,31
969,0,0,2,89
970,0,0,1,104
971,0,6,1,19
972,0,1,1,94
973,0,4,1,32
974,0,0,1,74
979,0,5,3,104
981,0,3,2,104
982,0,2,2,97
983,0,2,1,82
984,0,2,1,55
988,0,5,1,32
990,0,0,1,70
991,0,0,1,30
993,0,3,1,92
1001,0,1,2,87
1002,0,3,2,84
1003,0,1,1,43
1008,0,2,2,64
1009,0,1,1,87
1015,0,1,1,74
1017,1,4,2,66
1021,0,1,1,103
1026,0,4,1,68
1027,0,2,1,28
1028,1,3,1,50
1030,0,3,1,64
1040,0,0,1,76
1042,0,1,1,64
1044,0,1,1,51
1045,0,0,1,12
1046,0,7,1,4
1047,0,3,2,104
1048,0,0,1,99
1055,0,1,1,5
1058,0,0,1,104
1059,0,2,1,104
1067,0,2,1,54
1069,0,5,1,38
1070,0,0,1,104
1071,0,0,1,104
1072,0,3,2,64
1074,0,1,2,65
1076,0,5,1,88
1077,0,0,1,7
1078,0,4,1,67
1080,0,0,1,40
1082,0,0,1,55
1084,0,3,1,68
1093,0,0,1,88
1094,0,0,1,57
1096,0,0,1,12
1097,0,2,1,104
1102,0,0,2,103
1105,0,1,1,101
1110,0,0,3,82
1111,0,3,2,64
1112,0,7,1,66
1115,0,0,1,104
1124,0,0,1,104
1131,0,1,1,58
1134,0,1,1,89
1135,0,5,2,104
1138,0,3,1,104
1139,0,3,1,104
1141,0,5,2,92
1143,0,1,1,24
1147,0,0,1,49
1149,0,0,3,38
1152,0,6,2,104
1159,0,1,1,99
1162,0,1,1,99
1163,0,2,2,103
1164,0,5,3,82
1165,0,3,1,39
1166,0,5,1,3
1169,0,5,1,99
1172,0,2,1,9
1184,0,1,1,57
1186,0,1,1,38
1187,0,3,1,17
1193,0,3,1,1
1195,0,2,1,28
1196,0,4,1,78
1201,0,4,1,104
1202,0,0,2,64
1205,0,2,1,99
1206,0,0,1,104
1212,0,0,1,103
1220,0,1,1,32
1221,0,2,2,98
1222,0,2,1,46
1224,0,3,1,89
1227,0,0,1,68
1230,0,1,1,62
1234,0,0,1,12
1236,0,1,1,65
1237,0,1,2,22
1245,0,4,1,25
1247,0,4,1,89
1248,0,0,1,44
1251,1,5,1,13
1253,0,2,1,101
1261,0,5,1,9
1267,0,0,1,104
1268,0,3,1,104
1275,0,2,1,61
1276,0,0,1,32
1279,0,2,1,87
1280,0,0,2,103
1287,0,4,1,104
1288,0,1,1,87
1290,0,4,1,17
1296,0,5,1,75
1299,0,0,2,104
1300,0,6,1,6
1302,0,2,1,37
1303,0,0,1,104
1306,0,6,1,68
1310,0,2,1,87
1311,0,4,1,29
1312,0,2,3,28
1315,0,0,1,46
1319,0,5,1,70
1324,0,5,1,41
1326,0,2,2,64
1327,0,1,1,11
1328,0,2,2,74
1329,0,1,1,87
1332,0,1,2,66
1333,0,0,1,83
1335,0,2,1,40
1336,0,4,1,10
1338,0,2,1,58
1342,0,1,2,22
1345,0,2,1,89
1346,0,3,1,40
1349,0,0,1,104
1352,0,0,1,65
1353,0,1,1,38
1354,0,0,1,80
1359,0,0,1,7
1361,0,3,1,98
1362,0,1,1,12
1365,0,0,2,21
1371,0,0,2,48
1372,0,1,2,68
1373,0,2,1,103
1374,0,2,1,87
1377,0,0,1,16
1381,0,1,1,48
1382,0,1,4,12
1383,0,2,1,64
1387,0,5,1,51
1390,0,6,1,104
1394,0,0,1,55
1397,0,0,1,5
1398,0,1,1,101
1402,0,2,2,12
1403,1,6,1,104
1408,0,0,2,22
1410,0,0,1,34
1412,0,0,1,104
1413,0,0,1,62
1417,0,1,1,104
1421,0,5,1,16
1423,0,1,2,49
1425,0,1,1,45
1430,0,0,2,36
1433,1,0,1,70
1436,0,1,1,37
1437,0,0,1,64
1438,0,1,1,82
1443,0,1,2,34
1444,0,0,1,31
1445,0,0,3,28
1448,1,6,1,104
1449,0,0,1,64
1450,0,0,1,103
1453,0,1,1,11
1455,0,1,1,1
1456,0,5,2,16
1460,0,2,1,99
1463,0,2,2,12
1464,0,1,2,38
1466,0,1,1,104
1467,0,1,1,14
1469,0,0,1,28
1473,0,0,1,101
1474,0,1,2,26
1475,0,2,1,104
1477,0,0,1,64
1478,0,1,1,91
1479,0,0,1,104
1480,0,0,1,46
1481,0,5,1,9
1483,0,2,2,37
1484,0,1,1,52
1488,0,3,1,104
1490,0,4,1,104
1491,1,0,1,104
1493,0,2,1,34
1496,0,5,1,89
1498,0,5,1,104
1502,0,0,1,33
1503,0,2,1,65
1504,0,6,1,5
1506,0,1,1,54
1508,0,0,1,64
1510,0,0,1,104
1512,0,1,1,18
1516,0,3,2,100
1518,0,0,1,33
1519,0,5,1,32
1521,0,1,1,44
1525,0,1,1,39
1529,0,3,1,39
1530,0,1,1,22
1532,0,4,1,104
1536,0,2,1,74
1537,0,2,1,39
1539,0,0,2,48
1540,0,0,1,21
1544,0,0,1,98
1545,0,0,2,80
1547,0,2,1,87
1552,0,2,1,104
1554,0,5,1,96
1555,0,5,1,92
1556,0,0,1,94
1557,0,0,1,7
1559,0,5,2,83
1563,0,1,1,103
1564,0,5,1,14
1571,0,0,1,104
1572,0,0,1,85
1574,0,1,1,99
1575,0,2,1,43
1578,0,2,4,80
1582,0,1,1,103
1583,0,5,1,60
1585,0,0,1,28
1588,0,1,1,32
1589,0,1,1,54
1592,0,4,1,34
1593,0,1,1,104
1597,0,0,2,64
1598,0,0,2,104
1599,0,0,1,30
1600,0,2,1,58
1602,0,0,1,87
1603,1,0,2,87
1604,0,0,1,64
1606,0,1,1,1
1609,0,1,2,74
1613,0,5,1,86
1614,0,0,1,87
1615,0,1,1,104
1619,0,1,1,64
1622,0,0,1,104
1627,0,0,1,26
1629,0,1,1,104
1631,0,0,1,80
1634,0,6,1,104
1636,0,0,1,80
1641,0,0,1,39
1642,0,2,1,104
1646,0,0,2,69
1648,0,2,1,10
1650,0,2,1,24
1653,0,1,1,104
1657,0,0,2,12
1659,1,0,2,76
1666,0,0,1,80
1667,0,2,1,5
1670,0,3,1,104
1671,0,5,1,51
1672,0,5,1,64
1678,0,2,1,104
1680,0,2,1,16
1681,0,5,1,13
1684,1,1,1,104
1686,0,2,1,99
1688,0,0,1,99
1691,0,1,1,29
1692,0,1,1,77
1693,0,1,3,44
1695,0,1,1,101
1698,1,4,3,27
1703,0,2,2,104
1706,0,1,1,57
1707,0,1,1,10
1709,0,0,1,60
1711,0,1,1,99
1713,0,5,1,23
1714,0,1,1,40
1715,0,1,1,104
1716,0,0,1,46
1717,0,1,2,60
1718,0,1,1,16
1721,0,0,2,60
1729,0,4,1,104
1730,0,1,1,77
1731,0,1,1,5
1736,0,0,1,103
1737,0,6,2,103
1738,0,6,1,9
1745,0,0,2,28
1747,0,0,2,97
1748,0,0,1,17
1749,0,0,2,104
1751,0,0,2,48
1752,0,2,1,87
1754,0,7,1,104
1756,0,2,1,104
1757,0,1,1,32
1759,0,1,1,87
1761,0,0,1,85
1762,0,0,1,82
1764,0,0,2,12
1767,0,0,1,43
1768,0,0,1,99
1770,0,6,3,89
1773,0,1,1,87
1774,0,4,1,71
1777,0,0,1,43
1779,0,5,1,32
1782,0,2,2,103
1784,0,0,1,21
1786,1,0,2,104
1787,0,0,1,80
1789,0,1,1,34
1790,0,3,1,91
1792,0,0,2,104
1795,0,1,1,39
1799,0,2,1,90
1801,0,5,1,89
1802,0,3,1,87
1805,0,0,1,80
1806,0,1,3,48
1807,0,2,2,49
1808,0,5,1,104
1809,0,0,3,39
1811,1,1,1,2
1814,0,0,1,11
1815,0,4,1,85
